classification_system,code,code_clean,description
icd-10-mc,S72.059F,S72059F,"Unspecified fracture of head of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.059G,S72059G,"Unspecified fracture of head of unspecified femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.059H,S72059H,"Unspecified fracture of head of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.059J,S72059J,"Unspecified fracture of head of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.059K,S72059K,"Unspecified fracture of head of unspecified femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.059M,S72059M,"Unspecified fracture of head of unspecified femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.059N,S72059N,"Unspecified fracture of head of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.059P,S72059P,"Unspecified fracture of head of unspecified femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.059Q,S72059Q,"Unspecified fracture of head of unspecified femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.059R,S72059R,"Unspecified fracture of head of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.059S,S72059S,"Unspecified fracture of head of unspecified femur, sequela"
icd-10-mc,S72.061A,S72061A,"Displaced articular fracture of head of right femur, initial encounter for closed fracture"
icd-10-mc,S72.061B,S72061B,"Displaced articular fracture of head of right femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.061C,S72061C,"Displaced articular fracture of head of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.061D,S72061D,"Displaced articular fracture of head of right femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.061E,S72061E,"Displaced articular fracture of head of right femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.061F,S72061F,"Displaced articular fracture of head of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.061G,S72061G,"Displaced articular fracture of head of right femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.061H,S72061H,"Displaced articular fracture of head of right femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.061J,S72061J,"Displaced articular fracture of head of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.061K,S72061K,"Displaced articular fracture of head of right femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.061M,S72061M,"Displaced articular fracture of head of right femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.061N,S72061N,"Displaced articular fracture of head of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.061P,S72061P,"Displaced articular fracture of head of right femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.061Q,S72061Q,"Displaced articular fracture of head of right femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.061R,S72061R,"Displaced articular fracture of head of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.061S,S72061S,"Displaced articular fracture of head of right femur, sequela"
icd-10-mc,S72.062A,S72062A,"Displaced articular fracture of head of left femur, initial encounter for closed fracture"
icd-10-mc,S72.062B,S72062B,"Displaced articular fracture of head of left femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.062C,S72062C,"Displaced articular fracture of head of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.062D,S72062D,"Displaced articular fracture of head of left femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.062E,S72062E,"Displaced articular fracture of head of left femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.062F,S72062F,"Displaced articular fracture of head of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.062G,S72062G,"Displaced articular fracture of head of left femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.062H,S72062H,"Displaced articular fracture of head of left femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.062J,S72062J,"Displaced articular fracture of head of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.062K,S72062K,"Displaced articular fracture of head of left femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.062M,S72062M,"Displaced articular fracture of head of left femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.062N,S72062N,"Displaced articular fracture of head of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.062P,S72062P,"Displaced articular fracture of head of left femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.062Q,S72062Q,"Displaced articular fracture of head of left femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.062R,S72062R,"Displaced articular fracture of head of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.062S,S72062S,"Displaced articular fracture of head of left femur, sequela"
icd-10-mc,S72.063A,S72063A,"Displaced articular fracture of head of unspecified femur, initial encounter for closed fracture"
icd-10-mc,S72.063B,S72063B,"Displaced articular fracture of head of unspecified femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.063C,S72063C,"Displaced articular fracture of head of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.063D,S72063D,"Displaced articular fracture of head of unspecified femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.063E,S72063E,"Displaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.063F,S72063F,"Displaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.063G,S72063G,"Displaced articular fracture of head of unspecified femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.063H,S72063H,"Displaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.063J,S72063J,"Displaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.063K,S72063K,"Displaced articular fracture of head of unspecified femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.063M,S72063M,"Displaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.063N,S72063N,"Displaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.063P,S72063P,"Displaced articular fracture of head of unspecified femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.063Q,S72063Q,"Displaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.063R,S72063R,"Displaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.063S,S72063S,"Displaced articular fracture of head of unspecified femur, sequela"
icd-10-mc,S72.064A,S72064A,"Nondisplaced articular fracture of head of right femur, initial encounter for closed fracture"
icd-10-mc,S72.064B,S72064B,"Nondisplaced articular fracture of head of right femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.064C,S72064C,"Nondisplaced articular fracture of head of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.064D,S72064D,"Nondisplaced articular fracture of head of right femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.064E,S72064E,"Nondisplaced articular fracture of head of right femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.064F,S72064F,"Nondisplaced articular fracture of head of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.064G,S72064G,"Nondisplaced articular fracture of head of right femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.064H,S72064H,"Nondisplaced articular fracture of head of right femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.064J,S72064J,"Nondisplaced articular fracture of head of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.064K,S72064K,"Nondisplaced articular fracture of head of right femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.064M,S72064M,"Nondisplaced articular fracture of head of right femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.064N,S72064N,"Nondisplaced articular fracture of head of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.064P,S72064P,"Nondisplaced articular fracture of head of right femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.064Q,S72064Q,"Nondisplaced articular fracture of head of right femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.064R,S72064R,"Nondisplaced articular fracture of head of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.064S,S72064S,"Nondisplaced articular fracture of head of right femur, sequela"
icd-10-mc,S72.065A,S72065A,"Nondisplaced articular fracture of head of left femur, initial encounter for closed fracture"
icd-10-mc,S72.065B,S72065B,"Nondisplaced articular fracture of head of left femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.065C,S72065C,"Nondisplaced articular fracture of head of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.065D,S72065D,"Nondisplaced articular fracture of head of left femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.065E,S72065E,"Nondisplaced articular fracture of head of left femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.065F,S72065F,"Nondisplaced articular fracture of head of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.065G,S72065G,"Nondisplaced articular fracture of head of left femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.065H,S72065H,"Nondisplaced articular fracture of head of left femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.065J,S72065J,"Nondisplaced articular fracture of head of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.065K,S72065K,"Nondisplaced articular fracture of head of left femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.065M,S72065M,"Nondisplaced articular fracture of head of left femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.065N,S72065N,"Nondisplaced articular fracture of head of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.065P,S72065P,"Nondisplaced articular fracture of head of left femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.065Q,S72065Q,"Nondisplaced articular fracture of head of left femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.065R,S72065R,"Nondisplaced articular fracture of head of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.065S,S72065S,"Nondisplaced articular fracture of head of left femur, sequela"
icd-10-mc,S72.066A,S72066A,"Nondisplaced articular fracture of head of unspecified femur, initial encounter for closed fracture"
icd-10-mc,S72.066B,S72066B,"Nondisplaced articular fracture of head of unspecified femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.066C,S72066C,"Nondisplaced articular fracture of head of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.066D,S72066D,"Nondisplaced articular fracture of head of unspecified femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.066E,S72066E,"Nondisplaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.066F,S72066F,"Nondisplaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.066G,S72066G,"Nondisplaced articular fracture of head of unspecified femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.066H,S72066H,"Nondisplaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.066J,S72066J,"Nondisplaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.066K,S72066K,"Nondisplaced articular fracture of head of unspecified femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.066M,S72066M,"Nondisplaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.066N,S72066N,"Nondisplaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.066P,S72066P,"Nondisplaced articular fracture of head of unspecified femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.066Q,S72066Q,"Nondisplaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.066R,S72066R,"Nondisplaced articular fracture of head of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.066S,S72066S,"Nondisplaced articular fracture of head of unspecified femur, sequela"
icd-10-mc,S72.091A,S72091A,"Other fracture of head and neck of right femur, initial encounter for closed fracture"
icd-10-mc,S72.091B,S72091B,"Other fracture of head and neck of right femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.091C,S72091C,"Other fracture of head and neck of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.091D,S72091D,"Other fracture of head and neck of right femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.091E,S72091E,"Other fracture of head and neck of right femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.091F,S72091F,"Other fracture of head and neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.091G,S72091G,"Other fracture of head and neck of right femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.091H,S72091H,"Other fracture of head and neck of right femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.091J,S72091J,"Other fracture of head and neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.091K,S72091K,"Other fracture of head and neck of right femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.091M,S72091M,"Other fracture of head and neck of right femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.091N,S72091N,"Other fracture of head and neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.091P,S72091P,"Other fracture of head and neck of right femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.091Q,S72091Q,"Other fracture of head and neck of right femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.091R,S72091R,"Other fracture of head and neck of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.091S,S72091S,"Other fracture of head and neck of right femur, sequela"
icd-10-mc,S72.092A,S72092A,"Other fracture of head and neck of left femur, initial encounter for closed fracture"
icd-10-mc,S72.092B,S72092B,"Other fracture of head and neck of left femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.092C,S72092C,"Other fracture of head and neck of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.092D,S72092D,"Other fracture of head and neck of left femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.092E,S72092E,"Other fracture of head and neck of left femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.092F,S72092F,"Other fracture of head and neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.092G,S72092G,"Other fracture of head and neck of left femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.092H,S72092H,"Other fracture of head and neck of left femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.092J,S72092J,"Other fracture of head and neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.092K,S72092K,"Other fracture of head and neck of left femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.092M,S72092M,"Other fracture of head and neck of left femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.092N,S72092N,"Other fracture of head and neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.092P,S72092P,"Other fracture of head and neck of left femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.092Q,S72092Q,"Other fracture of head and neck of left femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.092R,S72092R,"Other fracture of head and neck of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.092S,S72092S,"Other fracture of head and neck of left femur, sequela"
icd-10-mc,S72.099A,S72099A,"Other fracture of head and neck of unspecified femur, initial encounter for closed fracture"
icd-10-mc,S72.099B,S72099B,"Other fracture of head and neck of unspecified femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.099C,S72099C,"Other fracture of head and neck of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.099D,S72099D,"Other fracture of head and neck of unspecified femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.099E,S72099E,"Other fracture of head and neck of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.099F,S72099F,"Other fracture of head and neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.099G,S72099G,"Other fracture of head and neck of unspecified femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.099H,S72099H,"Other fracture of head and neck of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.099J,S72099J,"Other fracture of head and neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.099K,S72099K,"Other fracture of head and neck of unspecified femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.099M,S72099M,"Other fracture of head and neck of unspecified femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.099N,S72099N,"Other fracture of head and neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.099P,S72099P,"Other fracture of head and neck of unspecified femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.099Q,S72099Q,"Other fracture of head and neck of unspecified femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.099R,S72099R,"Other fracture of head and neck of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.099S,S72099S,"Other fracture of head and neck of unspecified femur, sequela"
icd-10-mc,S72.101A,S72101A,"Unspecified trochanteric fracture of right femur, initial encounter for closed fracture"
icd-10-mc,S72.101B,S72101B,"Unspecified trochanteric fracture of right femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.101C,S72101C,"Unspecified trochanteric fracture of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.101D,S72101D,"Unspecified trochanteric fracture of right femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.101E,S72101E,"Unspecified trochanteric fracture of right femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.101F,S72101F,"Unspecified trochanteric fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.101G,S72101G,"Unspecified trochanteric fracture of right femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.101H,S72101H,"Unspecified trochanteric fracture of right femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.101J,S72101J,"Unspecified trochanteric fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.101K,S72101K,"Unspecified trochanteric fracture of right femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.101M,S72101M,"Unspecified trochanteric fracture of right femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.101N,S72101N,"Unspecified trochanteric fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.101P,S72101P,"Unspecified trochanteric fracture of right femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.101Q,S72101Q,"Unspecified trochanteric fracture of right femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.101R,S72101R,"Unspecified trochanteric fracture of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.101S,S72101S,"Unspecified trochanteric fracture of right femur, sequela"
icd-10-mc,S72.102A,S72102A,"Unspecified trochanteric fracture of left femur, initial encounter for closed fracture"
icd-10-mc,S72.102B,S72102B,"Unspecified trochanteric fracture of left femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.102C,S72102C,"Unspecified trochanteric fracture of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.102D,S72102D,"Unspecified trochanteric fracture of left femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.102E,S72102E,"Unspecified trochanteric fracture of left femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.102F,S72102F,"Unspecified trochanteric fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.102G,S72102G,"Unspecified trochanteric fracture of left femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.102H,S72102H,"Unspecified trochanteric fracture of left femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.102J,S72102J,"Unspecified trochanteric fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.102K,S72102K,"Unspecified trochanteric fracture of left femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.102M,S72102M,"Unspecified trochanteric fracture of left femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.102N,S72102N,"Unspecified trochanteric fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.102P,S72102P,"Unspecified trochanteric fracture of left femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.102Q,S72102Q,"Unspecified trochanteric fracture of left femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.102R,S72102R,"Unspecified trochanteric fracture of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.102S,S72102S,"Unspecified trochanteric fracture of left femur, sequela"
icd-10-mc,S72.109A,S72109A,"Unspecified trochanteric fracture of unspecified femur, initial encounter for closed fracture"
icd-10-mc,S72.109B,S72109B,"Unspecified trochanteric fracture of unspecified femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.109C,S72109C,"Unspecified trochanteric fracture of unspecified femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.109D,S72109D,"Unspecified trochanteric fracture of unspecified femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.109E,S72109E,"Unspecified trochanteric fracture of unspecified femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.109F,S72109F,"Unspecified trochanteric fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.109G,S72109G,"Unspecified trochanteric fracture of unspecified femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.109H,S72109H,"Unspecified trochanteric fracture of unspecified femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.109J,S72109J,"Unspecified trochanteric fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.109K,S72109K,"Unspecified trochanteric fracture of unspecified femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.109M,S72109M,"Unspecified trochanteric fracture of unspecified femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.109N,S72109N,"Unspecified trochanteric fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.109P,S72109P,"Unspecified trochanteric fracture of unspecified femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.109Q,S72109Q,"Unspecified trochanteric fracture of unspecified femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.109R,S72109R,"Unspecified trochanteric fracture of unspecified femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.109S,S72109S,"Unspecified trochanteric fracture of unspecified femur, sequela"
icd-10-mc,S72.111A,S72111A,"Displaced fracture of greater trochanter of right femur, initial encounter for closed fracture"
icd-10-mc,S72.111B,S72111B,"Displaced fracture of greater trochanter of right femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.111C,S72111C,"Displaced fracture of greater trochanter of right femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.111D,S72111D,"Displaced fracture of greater trochanter of right femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.111E,S72111E,"Displaced fracture of greater trochanter of right femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.111F,S72111F,"Displaced fracture of greater trochanter of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.111G,S72111G,"Displaced fracture of greater trochanter of right femur, subsequent encounter for closed fracture with delayed healing"
icd-10-mc,S72.111H,S72111H,"Displaced fracture of greater trochanter of right femur, subsequent encounter for open fracture type I or II with delayed healing"
icd-10-mc,S72.111J,S72111J,"Displaced fracture of greater trochanter of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with delayed healing"
icd-10-mc,S72.111K,S72111K,"Displaced fracture of greater trochanter of right femur, subsequent encounter for closed fracture with nonunion"
icd-10-mc,S72.111M,S72111M,"Displaced fracture of greater trochanter of right femur, subsequent encounter for open fracture type I or II with nonunion"
icd-10-mc,S72.111N,S72111N,"Displaced fracture of greater trochanter of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with nonunion"
icd-10-mc,S72.111P,S72111P,"Displaced fracture of greater trochanter of right femur, subsequent encounter for closed fracture with malunion"
icd-10-mc,S72.111Q,S72111Q,"Displaced fracture of greater trochanter of right femur, subsequent encounter for open fracture type I or II with malunion"
icd-10-mc,S72.111R,S72111R,"Displaced fracture of greater trochanter of right femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with malunion"
icd-10-mc,S72.111S,S72111S,"Displaced fracture of greater trochanter of right femur, sequela"
icd-10-mc,S72.112A,S72112A,"Displaced fracture of greater trochanter of left femur, initial encounter for closed fracture"
icd-10-mc,S72.112B,S72112B,"Displaced fracture of greater trochanter of left femur, initial encounter for open fracture type I or II"
icd-10-mc,S72.112C,S72112C,"Displaced fracture of greater trochanter of left femur, initial encounter for open fracture type IIIA, IIIB, or IIIC"
icd-10-mc,S72.112D,S72112D,"Displaced fracture of greater trochanter of left femur, subsequent encounter for closed fracture with routine healing"
icd-10-mc,S72.112E,S72112E,"Displaced fracture of greater trochanter of left femur, subsequent encounter for open fracture type I or II with routine healing"
icd-10-mc,S72.112F,S72112F,"Displaced fracture of greater trochanter of left femur, subsequent encounter for open fracture type IIIA, IIIB, or IIIC with routine healing"
icd-10-mc,S72.112G,S72112G,"Displaced fracture of greater trochanter of left femur, subsequent encounter for closed fracture with delayed healing"
